Feature,Importance
TotalCharges_104.2,0.0001997534132594894
TotalCharges_6127.6,0.00019965625504294516
Customers_4912-PIGUY,0.00019963482643624305
TotalCharges_6985.65,0.00019952842732075252
TotalCharges_7534.65,0.0001994900544837838
Customers_7619-ODSGN,0.00019925139960852125
Customers_1481-ZUWZA,0.0001992231568731671
TotalCharges_1380.1,0.00019921263013944563
Customers_4925-LMHOK,0.0001991525418700114
TotalCharges_892.65,0.0001988929622213492
TotalCharges_114.1,0.00019871489346914582
TotalCharges_6281.45,0.0001978935777470756
TotalCharges_1604.5,0.0001977726061879149
Customers_3804-RVTGV,0.00019758328501020303
Customers_1120-BMWUB,0.0001975501845614671
TotalCharges_3014.65,0.00019751881044351456
Customers_2219-MVUSO,0.00019748352691646029
TotalCharges_72.1,0.00019740605071162605
TotalCharges_20.95,0.00019728043760775752
Customers_7248-VZQLC,0.00019722759649616544
TotalCharges_620.55,0.00019719506723487774
TotalCharges_7689.95,0.0001971190740136508
TotalCharges_70.2,0.0001969304321701795
TotalCharges_84.5,0.00019692575862764798
TotalCharges_5149.5,0.00019689188725365535
TotalCharges_1206.05,0.00019680576665175102
TotalCharges_235.1,0.00019677067260198588
Customers_2027-OAQQC,0.00019675550618347486
Customers_4791-QRGMF,0.00019655781292867003
TotalCharges_2498.4,0.00019655551560553622
TotalCharges_4867.95,0.00019646105575376265
TotalCharges_900.5,0.00019609316264292533
Customers_6207-WIOLX,0.000196091030894208
Customers_9158-VCTQB,0.00019607696764876114
Customers_7639-SUPCW,0.00019587607712555255
TotalCharges_6873.75,0.0001958722639171723
Customers_9174-FKWZE,0.00019579143483883292
TotalCharges_4874.8,0.0001954926060285629
Customers_8267-ZNYVZ,0.00019537194066359065
Customers_0840-DFEZH,0.00019525007211598755
Customers_0877-SDMBN,0.00019498320493420166
TotalCharges_2636.05,0.00019488827323742723
Customers_6641-XRPSU,0.00019487588318788853
Customers_5748-RNCJT,0.0001948566388084986
TotalCharges_2452.7,0.00019473315853995243
Customers_7683-CBDKJ,0.0001945871574481322
TotalCharges_1637.4,0.00019438452878302716
TotalCharges_7262,0.00019415968031532473
Customers_9633-XQABV,0.00019414960210770418
Customers_7562-GSUHK,0.00019400179091969734
Customers_3927-NLNRY,0.00019381014678585508
TotalCharges_3624.3,0.0001937643061898243
Customers_7593-XFKDI,0.0001936815311224688
TotalCharges_7432.05,0.00019320386966355596
TotalCharges_3264.5,0.0001932002864941565
TotalCharges_2541.25,0.00019317736866702277
Customers_3419-SNJJD,0.00019305480970230107
TotalCharges_2716.3,0.00019294787194448478
Customers_3791-LGQCY,0.00019284859191535857
TotalCharges_5154.6,0.0001927942162903031
Customers_7486-KSRVI,0.0001926769519391043
Customers_8229-TNIQA,0.0001925216733268206
Customers_0021-IKXGC,0.00019228719648910274
Customers_8199-ZLLSA,0.00019211548153272285
Customers_9572-MTILT,0.00019156222617089453
Customers_3190-XFANI,0.00019150437158152076
Customers_7065-YUNRY,0.00019103301065623226
TotalCharges_4065,0.00019100415181156683
TotalCharges_1067.15,0.00019089412155133718
TotalCharges_5000.2,0.00019086782143609991
TotalCharges_151.75,0.0001908414825687177
TotalCharges_5124.6,0.00019075540523769868
TotalCharges_3754.6,0.0001905296115720334
TotalCharges_3457.9,0.00019050211489896225
TotalCharges_19.1,0.0001904215347530287
Customers_0420-BWTPW,0.00019031319156617078
TotalCharges_4213.35,0.0001902703696506296
TotalCharges_305.55,0.0001901062182227063
Customers_9053-JZFKV,0.00018982130026072526
Customers_8809-RIHDD,0.0001897159366757437
TotalCharges_191.05,0.00018949789359314632
TotalCharges_3273.55,0.00018935998536938022
TotalCharges_676.35,0.00018929512412745237
TotalCharges_260.8,0.00018916883735919278
Customers_0618-XWMSS,0.00018909406693036072
TotalCharges_2342.2,0.000189054340818345
Customers_0260-ZDLGK,0.00018905333755972513
Customers_6839-ITVZJ,0.00018900603339137452
TotalCharges_199.85,0.0001887163802429501
TotalCharges_4600.7,0.00018862000565342523
Customers_6635-MYYYZ,0.00018857001577108387
TotalCharges_19.3,0.00018850421704099448
TotalCharges_727.8,0.00018841909651241752
TotalCharges_431,0.0001883985777451191
TotalCharges_1929.35,0.00018830963036883423
Customers_4749-OJKQU,0.00018820248479501397
Customers_3976-BWUCK,0.0001881873256120479
TotalCharges_651.4,0.0001880025363070138
TotalCharges_4138.05,0.0001879092434362368
TotalCharges_1616.15,0.00018786872210313596
TotalCharges_1152.7,0.0001877575076549789
TotalCharges_2404.15,0.00018771672734210271
TotalCharges_6981.35,0.00018767775168251847
Customers_1644-IRKSF,0.00018763591215414252
TotalCharges_2804.45,0.0001875709315140924
Customers_7055-VKGDA,0.00018756205358130127
Customers_2311-QYMUQ,0.0001875327325742027
TotalCharges_3520.75,0.0001875284821558022
TotalCharges_4837.6,0.00018752314428466875
TotalCharges_937.6,0.00018735575128245194
Customers_2433-KMEAS,0.0001872060760127255
TotalCharges_86.6,0.00018717903804546876
Customers_5649-TJHOV,0.00018706093677683548
TotalCharges_3066.45,0.00018697886836480888
TotalCharges_663.55,0.00018674078396677945
TotalCharges_181.65,0.00018671335942328147
TotalCharges_2524.45,0.0001867078072644031
Customers_5995-OIGLP,0.00018667692164748333
Customers_8496-EJAUI,0.00018664621839269849
TotalCharges_75.6,0.00018662076125934682
Customers_4612-THJBS,0.0001863736768723382
TotalCharges_6448.05,0.0001862827662422889
Customers_2634-HCZGT,0.00018616354569987313
TotalCharges_6941.2,0.00018603965745750067
Customers_3424-NMNBO,0.00018601639741120835
TotalCharges_5685.8,0.00018586972587799431
Customers_3023-GFLBR,0.00018578801672017274
TotalCharges_5121.3,0.00018574062122900524
Customers_0193-ESZXP,0.00018570537388695402
Customers_4187-CINZD,0.0001854408936226615
Customers_6345-ULYRW,0.00018534923984327923
Customers_8563-IIOXK,0.00018533021402964534
Customers_6173-ITPWD,0.00018524964971722283
TotalCharges_6215.35,0.0001852156503754997
Customers_6394-MFYNG,0.0001851828256964647
TotalCharges_2282.55,0.00018518046286172322
Customers_1527-SXDPN,0.00018505007924593517
Customers_6261-RCVNS,0.0001849669058857328
Customers_4143-HHPMK,0.00018493650459406685
TotalCharges_6581.9,0.00018477437711623065
Customers_5020-ZSTTY,0.00018472639481536033
TotalCharges_255.25,0.00018462653807518783
TotalCharges_20.55,0.0001845546931654372
TotalCharges_4515.85,0.00018429834757506847
TotalCharges_93.7,0.00018416277184630738
TotalCharges_457.1,0.00018410392860271157
TotalCharges_684.85,0.00018405558288736717
TotalCharges_1527.5,0.00018392114205111924
TotalCharges_75.1,0.00018388978980061126
Customers_2359-QWQUL,0.00018376276186077075
TotalCharges_5610.7,0.00018360274192005523
Customers_3426-NIYYL,0.00018353380398649616
Customers_3580-REOAC,0.000183498221603429
TotalCharges_2345.2,0.00018348804828879531
Customers_3259-FDWOY,0.00018339573582983471
Customers_0991-BRRFB,0.00018330127517592827
Customers_5073-WXOYN,0.00018314192576245538
Customers_5013-SBUIH,0.00018300367498220261
TotalCharges_5341.8,0.0001829115185820667
